,B1-1N,B1-1S,B1-3N,B1-3S,B1-5N,B1-5S,B1-7N,B1-7S,B4-1N,B4-1S,B4-3N,B4-3S,B4-5N,B4-5S,B4-7N,B4-7S
2017-03-04,"[215.0, 3.0]","[231.0, 1.0]","[77.0, 3.0]","[78.0, 1.0]","[149.0, 1.0]","[146.0, 1.0]","[164.0, 3.0]","[140.0, 3.0]","[260.0, 2.0]","[266.0, 2.0]","[201.5, 2.0]","[154.5, 2.0]","[33.0, 3.0]","[49.5, 1.0]","[13.0, 3.0]","[21.0, 1.0]"
2017-03-05,"[215.0, 3.0]","[232.0, 1.0]","[78.0, 3.0]","[78.0, 1.0]","[150.0, 1.0]","[147.0, 1.0]","[165.0, 3.0]","[141.5, 3.0]","[261.0, 2.0]","[267.0, 2.0]","[202.5, 2.0]","[153.0, 2.0]","[34.0, 3.0]","[51.0, 1.0]","[14.0, 3.0]","[21.0, 1.0]"
2017-03-06,"[216.0, 3.0]","[233.0, 1.0]","[79.0, 3.0]","[79.0, 1.0]","[151.0, 1.0]","[148.0, 1.0]","[166.0, 3.0]","[144.0, 3.0]","[262.0, 2.0]","[268.0, 2.0]","[203.5, 2.0]","[154.0, 2.0]","[35.0, 3.0]","[52.0, 1.0]","[15.0, 3.0]","[22.0, 1.0]"
2017-03-07,"[217.0, 3.0]","[234.0, 1.0]","[80.0, 3.0]","[80.0, 1.0]","[152.0, 1.0]","[149.0, 1.0]","[167.0, 3.0]","[145.0, 3.0]","[263.0, 2.0]","[269.0, 2.0]","[197.0, 2.0]","[158.0, 2.0]","[37.0, 3.0]","[53.0, 1.0]","[16.0, 2.0]","[22.0, 1.0]"
2017-03-08,"[219.0, 3.0]","[235.0, 1.0]","[81.0, 3.0]","[81.5, 1.0]","[153.0, 1.0]","[150.0, 1.0]","[168.0, 3.0]","[146.0, 3.0]","[264.0, 2.0]","[270.0, 2.0]","[198.0, 2.0]","[147.0, 2.0]","[38.0, 3.0]","[54.0, 1.0]","[17.0, 2.0]","[23.0, 1.0]"
2017-03-09,"[220.0, 3.0]","[236.0, 1.0]","[82.5, 3.0]","[82.5, 1.0]","[154.0, 1.0]","[151.0, 1.0]","[169.0, 3.0]","[147.0, 3.0]","[265.0, 2.0]","[271.0, 2.0]","[199.0, 2.0]","[148.0, 2.0]","[39.0, 3.0]","[55.0, 1.0]","[17.5, 2.0]","[24.0, 1.0]"
2017-03-10,"[221.0, 3.0]","[237.0, 1.0]","[83.5, 3.0]","[83.5, 1.0]","[155.0, 1.0]","[152.0, 1.0]","[168.0, 3.0]","[149.0, 3.0]","[266.0, 2.0]","[269.5, 2.0]","[200.0, 2.0]","[149.0, 2.0]","[40.0, 3.0]","[56.0, 1.0]","[18.5, 2.0]","[25.0, 1.0]"
2017-03-11,"[222.0, 3.0]","[243.0, 1.0]","[84.5, 3.0]","[84.5, 1.0]","[156.0, 1.0]","[153.0, 1.0]","[171.0, 3.0]","[151.5, 3.0]","[267.0, 2.0]","[268.0, 2.0]","[200.0, 2.0]","[149.5, 2.0]","[41.0, 3.0]","[57.0, 1.0]","[19.0, 2.5]","[25.0, 1.0]"
2017-03-12,"[223.0, 3.0]","[244.0, 1.0]","[85.0, 3.0]","[86.0, 1.0]","[157.0, 1.0]","[154.0, 1.0]","[170.0, 3.0]","[152.0, 3.0]","[268.0, 2.0]","[269.0, 2.0]","[201.0, 2.0]","[150.5, 2.0]","[42.0, 3.0]","[58.0, 1.0]","[20.0, 2.5]","[26.0, 1.0]"
2017-03-13,"[224.0, 3.0]","[245.0, 1.0]","[86.0, 3.0]","[87.0, 1.0]","[158.0, 1.0]","[155.0, 1.0]","[171.0, 3.0]","[153.0, 3.0]","[266.0, 2.0]","[275.0, 2.0]","[202.0, 2.0]","[151.0, 2.0]","[43.0, 3.0]","[59.0, 1.0]","[21.0, 2.0]","[27.0, 1.0]"
2017-03-14,"[225.0, 3.0]","[246.0, 1.0]","[87.0, 3.0]","[88.0, 1.0]","[159.0, 1.0]","[156.0, 1.0]","[172.0, 3.0]","[154.0, 3.0]","[267.0, 2.0]","[276.0, 2.0]","[203.0, 2.0]","[152.5, 2.0]","[44.5, 3.0]","[60.0, 1.0]","[22.0, 2.0]","[28.0, 1.0]"
2017-03-15,"[226.0, 3.0]","[248.5, 1.0]","[88.0, 3.0]","[89.0, 1.0]","[160.0, 1.0]","[157.0, 1.0]","[173.0, 3.0]","[155.5, 3.0]","[268.0, 2.0]","[281.0, 2.0]","[205.0, 2.0]","[154.0, 2.0]","[45.5, 3.0]","[61.0, 1.0]","[23.0, 2.0]","[29.0, 1.0]"
2017-03-16,"[227.0, 3.0]","[249.5, 1.0]","[89.0, 3.0]","[90.0, 1.0]","[161.0, 1.0]","[158.0, 1.0]","[174.0, 3.0]","[156.5, 3.0]","[269.0, 2.0]","[282.0, 2.0]","[206.0, 2.0]","[155.0, 2.0]","[46.5, 3.0]","[62.0, 1.0]","[23.0, 3.0]","[29.0, 1.0]"
2017-03-17,"[228.0, 3.0]","[249.0, 1.0]","[90.0, 3.0]","[91.0, 1.0]","[161.0, 1.0]","[159.0, 1.0]","[175.0, 3.0]","[157.5, 3.0]","[270.0, 2.0]","[283.0, 2.0]","[207.0, 2.0]","[156.0, 2.0]","[47.5, 3.0]","[63.0, 1.0]","[24.0, 3.0]","[30.0, 1.0]"
2017-03-18,"[228.5, 3.0]","[250.0, 1.0]","[91.0, 3.0]","[92.0, 1.0]","[162.0, 1.0]","[160.0, 1.0]","[176.0, 3.0]","[158.5, 3.0]","[271.0, 2.0]","[284.0, 2.0]","[208.0, 2.0]","[157.0, 2.0]","[48.5, 3.0]","[64.0, 1.0]","[22.5, 3.0]","[30.0, 1.0]"
2017-03-19,"[229.5, 3.0]","[251.0, 1.0]","[92.5, 3.0]","[93.0, 1.0]","[163.0, 1.0]","[161.0, 1.0]","[177.0, 3.0]","[159.5, 3.0]","[272.0, 2.0]","[285.0, 2.0]","[210.5, 2.0]","[158.0, 2.0]","[49.5, 3.0]","[65.0, 1.0]","[23.0, 3.0]","[31.0, 1.0]"
2017-03-20,"[230.5, 3.0]","[252.0, 1.0]","[93.5, 3.0]","[94.0, 1.0]","[164.0, 1.0]","[162.0, 1.0]","[178.0, 3.0]","[160.5, 3.0]","[273.0, 2.0]","[286.0, 2.0]","[211.5, 2.0]","[159.0, 2.0]","[51.0, 3.0]","[66.0, 1.0]","[24.0, 3.0]","[30.0, 1.0]"
