,日期,牛舍,牛只类型,牛头数,报草量,减草量,剩草量,剩草率,计划头均采食量,实际头均采食量,头均产奶量
0,2017-3-5,B1-1S,高产,148.0,5700.0,0,300.0,5.3 ,38.5 ,36.4864864865,22.1
1,2017-3-5,B1-1N,高产,162.0,6900.0,0,280.0,4.1 ,42.6 ,40.8641975309,22.5
2,2017-3-5,B1-3S,高产,137.0,5300.0,0,200.0,3.8 ,38.7 ,37.2262773723,33.9
3,2017-3-5,B1-3N,高产,121.0,5500.0,0,240.0,4.4 ,45.5 ,43.4710743802,38.6
4,2017-3-5,B1-5S,高产,109.0,4500.0,0,240.0,5.3 ,41.3 ,39.0825688073,29.1
5,2017-3-5,B1-5N,高产,122.0,5100.0,0,300.0,5.9 ,41.8 ,39.3442622951,28.8
6,2017-3-5,B1-7S,高产,156.0,7500.0,0,400.0,5.3 ,48.1 ,45.5128205128,34.8
7,2017-3-5,B1-7N,高产,130.0,6200.0,0,260.0,4.2 ,47.7 ,45.6923076923,33.2
8,2017-3-5,B4-1S,高产,135.0,5700.0,0,200.0,3.5 ,42.2 ,40.7407407407,23.6
9,2017-3-5,B4-1N,高产,146.0,6000.0,0,350.0,5.8 ,41.1 ,38.698630137,21.5
10,2017-3-5,B4-3S,高产,166.0,6900.0,0,200.0,2.9 ,41.6 ,40.3614457831,26.7
11,2017-3-5,B4-3N,高产,135.0,5700.0,0,240.0,4.2 ,42.2 ,40.4444444444,24.8
12,2017-3-5,B4-5S,高产,140.0,5300.0,0,300.0,5.7 ,37.9 ,35.7142857143,31.7
13,2017-3-5,B4-5N,高产,133.0,5100.0,0,240.0,4.7 ,38.3 ,36.5413533835,39.8
14,2017-3-5,B4-7S,新产,,,0,,14.3 ,33.3 ,,
15,2017-3-5,B4-7N,新产,,,0,,54.2 ,63.2 ,,
16,2017-3-6,B1-1S,高产,148.0,6000.0,0,500.0,8.3 ,40.5 ,37.1621621622,22.0
17,2017-3-6,B1-1N,高产,153.0,6200.0,0,550.0,8.9 ,40.5 ,36.9281045752,22.5
18,2017-3-6,B1-3S,高产,137.0,5300.0,0,300.0,5.7 ,38.7 ,36.496350365,33.8
19,2017-3-6,B1-3N,高产,120.0,5500.0,0,260.0,4.7 ,45.8 ,43.6666666667,38.2
20,2017-3-6,B1-5S,高产,109.0,4500.0,0,240.0,5.3 ,41.3 ,39.0825688073,27.7
21,2017-3-6,B1-5N,高产,122.0,5100.0,0,260.0,5.1 ,41.8 ,39.6721311475,29.0
22,2017-3-6,B1-7S,高产,156.0,7500.0,0,800.0,10.7 ,48.1 ,42.9487179487,36.5
23,2017-3-6,B1-7N,高产,130.0,6100.0,0,550.0,9.0 ,46.9 ,42.6923076923,33.6
24,2017-3-6,B4-1S,高产,133.0,5500.0,0,450.0,8.2 ,41.4 ,37.969924812,25.8
25,2017-3-6,B4-1N,高产,143.0,5900.0,0,260.0,4.4 ,41.3 ,39.4405594406,20.9
26,2017-3-6,B4-3S,高产,166.0,6900.0,0,550.0,8.0 ,41.6 ,38.2530120482,26.1
27,2017-3-6,B4-3N,高产,135.0,5600.0,0,400.0,7.1 ,41.5 ,38.5185185185,24.5
28,2017-3-6,B4-5S,高产,140.0,5600.0,0,700.0,12.5 ,40.0 ,35.0,31.8
29,2017-3-6,B4-5N,高产,134.0,5600.0,0,600.0,10.7 ,41.8 ,37.3134328358,40.0
30,2017-3-6,B4-7S,新产,,,0,,31.8 ,32.8 ,,
31,2017-3-6,B4-7N,新产,,,0,,46.2 ,56.5 ,,
32,2017-3-7,B1-1S,高产,147.0,6000.0,0,400.0,6.7 ,40.8 ,38.0952380952,22.3
33,2017-3-7,B1-1N,高产,145.0,5800.0,0,200.0,3.4 ,40.0 ,38.6206896552,22.9
34,2017-3-7,B1-3S,高产,136.0,5300.0,0,300.0,5.7 ,39.0 ,36.7647058824,34.5
35,2017-3-7,B1-3N,高产,119.0,5500.0,0,300.0,5.5 ,46.2 ,43.6974789916,38.8
36,2017-3-7,B1-5S,高产,108.0,4500.0,0,200.0,4.4 ,41.7 ,39.8148148148,29.0
37,2017-3-7,B1-5N,高产,122.0,5100.0,0,200.0,3.9 ,41.8 ,40.1639344262,29.0
38,2017-3-7,B1-7S,高产,155.0,7400.0,0,500.0,6.8 ,47.7 ,44.5161290323,35.6
39,2017-3-7,B1-7N,高产,130.0,6000.0,0,200.0,3.3 ,46.2 ,44.6153846154,34.4
