,date,cowshed,avg_actual,avg_milk,THI,calving_days,calving_indices
10,2017-3-5,B4-3S,40.3614457831,26.7,9.236,154.5,2.0
26,2017-3-6,B4-3S,38.2530120482,26.1,9.478,153.0,2.0
42,2017-3-7,B4-3S,39.6449704142,26.6,9.4054,154.0,2.0
58,2017-3-8,B4-3S,38.961038961,27.3,9.4054,158.0,2.0
74,2017-3-9,B4-3S,38.2608695652,27.0,10.244,147.0,2.0
90,2017-3-10,B4-3S,38.2608695652,27.2,10.2011,148.0,2.0
106,2017-3-11,B4-3S,38.5964912281,26.8,10.387,149.0,2.0
122,2017-3-12,B4-3S,39.1304347826,27.6,10.4299,149.5,2.0
138,2017-3-13,B4-3S,40.0,28.0,10.387,150.5,2.0
154,2017-3-14,B4-3S,40.3361344538,28.6,10.101,151.0,2.0
170,2017-3-15,B4-3S,39.6694214876,28.4,11.1948,152.5,2.0
186,2017-3-16,B4-3S,37.7952755906,28.4,11.252,154.0,2.0
202,2017-3-17,B4-3S,38.7596899225,29.5,11.2652,155.0,2.0
218,2017-3-18,B4-3S,36.4341085271,28.9,11.296,156.0,2.0
234,2017-3-19,B4-3S,36.4341085271,28.5,11.2388,157.0,2.0
250,2017-3-20,B4-3S,36.8217054264,28.7,12.2435,158.0,2.0
266,2017-3-21,B4-3S,37.519379845,28.6,12.2765,159.0,2.0
282,2017-3-22,B4-3S,34.3511450382,28.2,12.315,159.0,2.0
298,2017-3-23,B4-3S,38.7755102041,28.7,12.2765,158.0,2.0
314,2017-3-24,B4-3S,38.1176470588,28.0,13.3758,158.5,2.0
330,2017-3-25,B4-3S,38.6363636364,28.0,13.3142,163.0,2.0
346,2017-3-26,B4-3S,39.6226415094,28.4,13.0678,160.5,2.0
362,2017-3-27,B4-3S,39.4957983193,28.2,13.1602,163.5,2.0
378,2017-3-28,B4-3S,39.6694214876,28.0,14.023,163.0,2.0
394,2017-3-29,B4-3S,37.7049180328,28.5,14.276,163.5,2.0
410,2017-3-30,B4-3S,39.4957983193,28.8,13.9471,154.5,2.0
426,2017-3-31,B4-3S,39.1666666667,29.8,13.9471,156.0,2.0
442,2017-4-1,B4-3S,38.3333333333,28.6,14.932,157.0,2.0
458,2017-4-2,B4-3S,39.4957983193,29.1,15.636,157.0,2.0
474,2017-4-3,B4-3S,38.7096774194,30.3,15.1784,158.0,2.0
490,2017-4-4,B4-3S,35.4330708661,28.3,16.1567,159.0,2.0
506,2017-4-5,B4-3S,41.1290322581,28.1,15.7057,160.0,2.0
522,2017-4-6,B4-3S,37.7358490566,28.1,16.1567,157.5,2.0
538,2017-4-7,B4-3S,39.7849462366,28.5,15.841,158.5,2.0
554,2017-4-8,B4-3S,40.2298850575,31.9,16.75,160.0,2.0
570,2017-4-9,B4-3S,36.7816091954,27.8,17.3,161.0,2.0
586,2017-4-10,B4-3S,36.7816091954,28.1,17.685,161.5,2.0
602,2017-4-11,B4-3S,36.404494382,28.2,16.915,162.5,2.0
618,2017-4-12,B4-3S,38.202247191,28.9,18.308,161.0,2.0
634,2017-4-13,B4-3S,38.6516853933,28.5,18.5027,162.0,2.0
650,2017-4-14,B4-3S,36.170212766,29.0,17.659,160.0,2.0
666,2017-4-15,B4-3S,38.5416666667,29.1,18.1133,161.0,2.0
682,2017-4-16,B4-3S,40.625,29.4,18.3436,162.0,2.0
698,2017-4-17,B4-3S,37.3737373737,29.5,18.7924,163.0,2.0
714,2017-4-18,B4-3S,38.0,29.6,19.316,165.0,2.0
730,2017-4-19,B4-3S,38.0,28.6,19.0916,151.5,2.0
746,2017-4-20,B4-3S,29.0,28.8,19.316,145.0,2.0
762,2017-4-21,B4-3S,26.7441860465,29.4,21.171,146.0,2.0
778,2017-4-22,B4-3S,30.3797468354,29.8,20.9169,147.0,2.0
794,2017-4-23,B4-3S,37.3493975904,29.6,19.2229,150.0,2.0
810,2017-4-24,B4-3S,38.6363636364,29.9,19.7311,154.0,2.0
826,2017-4-25,B4-3S,37.0786516854,29.3,19.2229,155.0,2.0
842,2017-4-26,B4-3S,37.0786516854,29.2,19.7311,156.0,2.0
858,2017-4-27,B4-3S,38.202247191,20.5,20.386,155.5,2.0
874,2017-4-28,B4-3S,40.2173913043,30.2,20.6698,156.5,2.0
